evidence_id,evidence_type,organization,location,date_or_period,observable,technology_or_need,source_url,grade,limits
REG-001,regulator,DGSSI,Morocco,current,"Qualified auditors are evaluated on methods and tools; industrial systems audit is a qualification domain","industrial audit methods and tools",https://www.dgssi.gov.ma/fr/prestations-et-produits-reglementes,P1,"does not endorse this product"
REG-002,regulator,DGSSI,Morocco,current,"Eight audit providers are listed; three visibly show industrial-systems audit qualification","named channel universe",https://www.dgssi.gov.ma/fr/prestations-et-produits-reglementes,P1,"status changes; recheck before outreach"
REG-003,law/policy,DGSSI,Morocco,2020-present,"Applicable vital entities with sensitive systems must use qualified providers for periodic audits","recurring audit mechanism",https://www.dgssi.gov.ma/fr/loi-ndeg-0520-relative-la-cybersecurite,P1,"legal interpretation requires counsel and implementing texts"
PROC-001,procurement,ONEE,Mohammedia,public record,"Maintenance of automata at the fuel loading station for a 3x100 MW plant","PLC maintenance",https://www.one.org.ma/FR/pages/aofiche.asp?id=18772,P1,"protocol/vendor not stated"
PROC-002,procurement,ANP,Essaouira port,2024,"Telemanagement system for drinking-water network","water telemanagement",https://www.anp.org.ma/fr/services/appels-offres/3836,P1,"technical dossier not captured"
PROC-003,procurement,ANP,Jorf Lasfar port,public record,"Exterior-lighting telemanagement installation","lighting telemanagement",https://www.anp.org.ma/fr/services/appels-offres/3603,P1,"protocol/vendor not stated"
PROC-004,procurement,ANP,Agadir port,2026-2028,"Automatic pumping pretreatment; surveillance modernization; electrical works; future lighting/water telemanagement","port OT/IoT systems",https://www.anp.org.ma/fra/Lists/AppelOffres/Attachments/4307/Programme%20Pr%C3%A9visionnel%20Triennal%202026-2028_DPAR.pdf,P1,"planned projects may change"
PROC-005,procurement,ANP,Nador,2026-2028,"VTS and surveillance maintenance; access control; network room; future water telemanagement","port OT/IoT systems",https://www.anp.org.ma/fra/Lists/AppelOffres/Attachments/4342/PP%20DPNR%202026%2C%202027%20et%202028-signed.pdf,P1,"planned projects may change"
JOB-001,job,Renault Group,Morocco,current accessible listing,"Automation work includes PLC HMI SCADA and industrial network programming","Modbus; PROFIBUS; EtherNet/IP",https://www.linkedin.com/jobs/view/4209227623/,P2,"job requirement is not complete installed base"
JOB-002,job,Stellantis,Kenitra,historical accessible listing,"Automation technician with maintenance and automation-project experience","industrial automation",https://www.linkedin.com/jobs/view/3709369339/,P2,"no protocol in accessible text"
JOB-003,job,Suprajit Morocco,Tangier region,current accessible listing,"Automation engineer requires multiple PLC vendors and networks","Siemens; Schneider; Omron; Rockwell; PROFINET; PROFIBUS; Modbus; EtherNet/IP",https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-automatisation-at-suprajit-morocco-4307891114,P2,"skills may cover future or legacy systems"
JOB-004,job,Givaudan,Morocco,current accessible listing,"Automation technician requires multi-vendor PLC and SCADA competence","Siemens; Schneider; Rockwell; PROFIBUS; PROFINET; Modbus; EtherNet/IP",https://ma.linkedin.com/jobs/view/automation-technician-at-givaudan-4344308334,P2,"site not specified in extracted text"
JOB-005,job,OPmobility,Morocco,current accessible listing,"Manufacturing role names MES monitoring energy and automation platforms","Apriso; Grafana; Node-RED; Schneider EMS; TIA Portal; Step7",https://ma.linkedin.com/jobs/view/site-manufacturing-professional-at-opmobility-4290749732,P2,"role requirements not device inventory"
JOB-006,job,Jibal,Fquih Ben Salah,current accessible listing,"Automation maintenance includes network work documentation and CMMS","Modbus; PROFIBUS; EtherNet/IP; drives; instruments",https://www.linkedin.com/jobs/view/4410157624/,P2,"posting may expire"
JOB-007,job,Adept Technology Morocco,Morocco,current accessible listing,"Automation/robotics role requires SCADA robot vendors and industrial buses","TIA Portal; WinCC; InTouch; ABB; KUKA; FANUC; PROFIBUS; PROFINET; EtherNet/IP",https://ma.linkedin.com/jobs/view/automaticien-roboticien-at-adept-technology-morocco-4269532153,P2,"integrator/employer equipment may span customers"
JOB-008,job,APM Terminals,Tangier,accessible listing,"Automation Expert listing exposes industrial networking requirements","AS-i; PROFIBUS",https://ma.linkedin.com/jobs/view/automation-expert-at-apm-terminals-4219014220,P2,"full job text must be archived/verified"
JOB-009,job,Elum Energy,Morocco-linked,current accessible listing,"PV/SCADA roles require named utility/industrial protocols","Modbus; IEC 104; OPC UA; IEC 61850; OCPP",https://lb.linkedin.com/jobs/view/technical-project-manager-%E2%80%93-utility-scale-pv-scada-systems-at-elum-energy-4375523808,P2,"projects may be outside Morocco"
JOB-010,job,Riaya Industries,Morocco,current accessible listing,"Automation role requires multi-vendor PLC and industrial networking","Siemens; Rockwell; Schneider; PROFINET; PROFIBUS; EtherNet/IP; Sercos",https://ma.linkedin.com/jobs/view/automation-technician-at-riaya-industries-4351031612,P2,"company/site details require verification"
MARKET-001,operator,Tanger Med Zones,North Morocco,current,"Industrial platform reports 1500 companies and 145000 jobs","cluster/channel density",https://www.tangermedzones.com/,P1,"not all companies have relevant OT or buying need"
MARKET-002,government,Ministry of Industry,Morocco,2024,"National industry reports MAD 898bn revenue MAD 90bn investment and 1038133 jobs","industrial scale",https://www.mcinet.gov.ma/fr/actualites/barometre-de-lindustrie-nationale-lindustrie-marocaine-franchit-un-nouveau-cap-en-2024,P1,"not a cybersecurity market measure"
COMP-001,competitor,runZero,global,current,"Community Edition is free up to 100 assets","zero-price discovery substitute",https://www.runzero.com/platform/community-edition/,V1,"feature/terms can change"
COMP-002,competitor,Tenable,global,2026,"Nessus Professional official list price USD 4790 per year","professional scanner price anchor",https://www.tenable.com/buy,V1,"not OT-specific or Morocco transaction price"
