account,sector,site_or_scope,public_source,evidence_status,likely_buyer_roles,next_verification
Renault Group Tangier,Automotive,Tangier assembly plant,https://www.renaultgroup.com/en/group/locations/tangier-plant/,Verified,"plant director; automation; cybersecurity","installed vendor/protocol evidence"
SOMACA (Renault Group),Automotive,Casablanca assembly plant,https://www.renaultgroup.com/en/group/locations/casablanca-plant-somaca/,Verified,"plant director; maintenance; cybersecurity","installed vendor/protocol evidence"
Stellantis Kenitra,Automotive,Kenitra vehicle plant,https://www.stellantis.com/en/news/press-releases/2022/november/a-new-step-for-kenitra-site-to-support-growth-plans-for-middle-east-and-africa-region,Verified,"plant director; automation; security","installed vendor/protocol evidence"
Yazaki Morocco,Automotive supplier,Multiple Moroccan sites,https://www.yazaki-group.com/global/network/,Needs verification,"operations; industrial IT; maintenance","verify current Morocco site page"
Lear Morocco,Automotive supplier,Multiple Moroccan operations,https://www.lear.com/,Needs verification,"operations; industrial IT; maintenance","verify current Morocco sites"
OCP Group,Phosphate and chemicals,Mining plus Jorf Lasfar and Safi,https://www.ocpgroup.ma/en/what-we-do/industrial-operations,Verified,"industrial operations; OT security; maintenance","site-specific installed base"
Managem,Mining,Multiple Moroccan mines and plants,https://www.managemgroup.com/en/nos-operations-projets,Verified,"COO Morocco; operations; cybersecurity","site-specific installed base"
Compagnie Miniere de Touissit,Mining,Moroccan mining operations,https://www.cmt.ma/,Needs verification,"operations; maintenance; IT security","verify active sites and corporate contact"
Societe Metallurgique d'Imiter,Mining,Imiter silver operation,https://www.managemgroup.com/en/,Corroborated,"operations; maintenance; security","treat as Managem buying-unit hypothesis"
ONEE,Electricity and water,National utility,https://www.one.org.ma/,Verified,"generation/transmission; water operations; security","map legal entities and tenders"
Masen,Renewable energy,Noor renewable portfolio,https://www.masen.ma/en/projects,Verified,"asset management; operations; cybersecurity","operator versus asset-owner buying role"
Nareva,Energy,Renewable and thermal assets,https://www.nareva.ma/,Needs verification,"operations; digital; cybersecurity","verify current asset list"
TAQA Morocco,Energy,Jorf Lasfar power station,https://www.taqamorocco.ma/,Needs verification,"plant operations; maintenance; cybersecurity","verify corporate site and current units"
Lydec / regional utility successor,Water and electricity distribution,Casablanca region,https://www.lydec.ma/,Needs verification,"network operations; SCADA; security","verify 2024-2026 restructuring and buyer"
Tanger Med Port Authority,Ports and logistics,Tanger Med port complex,https://www.tangermed.ma/,Verified,"port operations; engineering; cybersecurity","terminal-by-terminal scope"
Marsa Maroc,Ports and logistics,Multi-port terminals,https://www.marsamaroc.co.ma/,Verified,"terminal operations; engineering; security","site prioritization"
Cosumar,Food and beverage,Five regions plus Casablanca refinery,https://www.cosumar.co.ma/en/who-we-are/,Verified,"industrial director; automation; maintenance","site-level contacts and stack"
Centrale Danone,Food and beverage,Moroccan dairy plants,https://corporate.danone.ma/,Needs verification,"industrial operations; maintenance; IT","verify current plants"
Lesieur Cristal,Food and beverage,Oil and food processing,https://lesieur-cristal.com/,Verified,"industrial operations; automation; security","site list and stack"
COPAG,Food and beverage,Agadir/Souss cooperative operations,https://www.copag.ma/,Needs verification,"industrial operations; maintenance; IT","verify plants and contact"
Holcim Maroc,Cement and materials,Multiple cement/material sites,https://www.holcim.ma/,Verified,"industrial director; plant maintenance; security","site list and installed base"
Ciments du Maroc,Cement and materials,Multiple cement and grinding sites,https://www.cimentsdumaroc.com/,Needs verification,"industrial director; automation; security","verify current Heidelberg portfolio"
Ciments de l'Atlas,Cement and materials,Ben Ahmed and Beni Mellal,https://www.cimat.ma/,Needs verification,"plant operations; automation; IT","verify official site"
Safran Morocco,Aerospace,Ten Moroccan sites,https://www.safran-group.com/countries/morocco,Verified,"country industrial; site operations; cybersecurity","site-by-site function and stack"
Airbus Atlantic Morocco,Aerospace,Nouaceur manufacturing,https://www.airbus.com/en/products-services/commercial-aircraft/airbus-atlantic,Needs verification,"site operations; industrial IT; security","verify Morocco legal entity/site"
Spirit AeroSystems Morocco,Aerospace,Casablanca operation,https://www.spiritaero.com/,Needs verification,"site operations; industrial IT; security","verify post-acquisition entity status"
Sothema,Pharmaceuticals,Bouskoura manufacturing,https://www.sothema.com/manufacturing-facilities/,Verified,"industrial director; engineering; quality IT","validated-system boundaries"
Cooper Pharma,Pharmaceuticals,Moroccan manufacturing,https://cooperpharma.ma/language/en/,Verified,"industrial director; engineering; security","plant locations and stack"
Maroc Telecom,Telecom infrastructure,National network and facilities,https://www.iam.ma/,Verified,"network operations; facilities; security","OT versus telecom assessment scope"
Orange Maroc,Telecom infrastructure,National network and facilities,https://www.orange.ma/,Verified,"network operations; facilities; security","OT versus telecom assessment scope"
