input,status,observed_value,source_or_test,why_required
qualified_audit_providers,verified,8,https://www.dgssi.gov.ma/fr/prestations-et-produits-reglementes,channel universe
industrial_audit_qualified_providers,verified,3,https://www.dgssi.gov.ma/fr/prestations-et-produits-reglementes,first research set
serviceable_industrial_sites,unknown,,deduplicated site census,TAM denominator
assessment_frequency,unknown,,procurement and provider records,annual demand
accepted_price,unknown,,real quotes or purchase records,revenue conversion
reachable_buyer_rate,unknown,,outreach and procurement outcomes,SAM constraint
paid_evaluations,observed,0,project evidence,willingness to pay
renewal_rate,not_applicable,,post-sale evidence,recurring value
support_cost,unknown,,prototype and pilot time records,gross margin
market_size,unknown,,requires all relevant inputs,no defensible TAM today
