source_id,account,evidence_grade,source_class,publisher,published_or_reference_date,title,url,claims_supported,researched_on
MKT-001,Portfolio,A,Government,Maroc.ma,2025-06-03,SRMs set a MAD 253 billion investment programme,https://www.maroc.ma/fr/actualites/les-srm-mettent-en-place-un-programme-dinvestissement-de-253-milliards-de-dh,National SRM investment programme; first-phase investment,1 September 2026
MKT-002,Portfolio,A,Official operator,ONEE Water Branch,2026,ONEE Water Branch mission and 2025 key figures,https://www.onep.org.ma/presentaion-onep-2024.htm,"ONEE production share, plants, boreholes, conveyance and desalination",1 September 2026
MKT-003,Portfolio,A,Corporate,OCP Group,2026,OCP strategic entities and partners,https://www.ocpgroup.ma/en/who-we-are/our-strategic-entities-and-partners,OCP Green Water ownership and mandate,1 September 2026
ONEE-001,ONEE Water Branch,A,Official operator,ONEE,2026,ONEE press-release register,https://www.onep.org.ma/communique-presse.htm,Current drinking-water projects and financing,1 September 2026
ONEE-002,ONEE Water Branch,A,Official operator,ONEE,2025,ONEE strengthens Loukkos production and supply,https://www.onep.org.ma/news/2025/CDP-ONEE-07-05-2025/accueil.html,"Treatment expansion, pumping and transmission investment",1 September 2026
ONEE-003,ONEE Water Branch,A,Official operator,ONEE,2024-10-15,ONEE receives Belgian water and infrastructure mission,https://www.onep.org.ma/news/2024/ONEE-Maroc-Belgique-15-10-2024/accueil.html,Technology and collaboration context,1 September 2026
CS-001,SRM Casablanca-Settat,A,Official operator,SRM-CS,2024-10-01,SRM-CS launch and predecessor consolidation,https://srm.radeec.ma/,"Start date and consolidation of Lydec, RADEEC, RADEEJ and ONEE branches",1 September 2026
CS-002,SRM Casablanca-Settat,A,Official procurement plan,SRM-CS,2024-2026,SRM-CS forecast procurement programme,https://srm.radeec.ma/programme-previsionnel-3/,"Reservoir, pumping, sectorisation, rehabilitation and sanitation projects",1 September 2026
CS-003,SRM Casablanca-Settat,B,Business press,Finances News Hebdo,2025-02-13,SRM-CS describes MAD 61 billion investment programme,https://online.flippingbook.com/view/1063936058/19/,Investment scale and population served,1 September 2026
SM-001,SRM Souss-Massa,B,Trade press,BTP News,2025-02-21,Souss-Massa approves 2025 and five-year investment plans,https://www.btpnews.ma/souss-massa-des-investissements-majeurs-dans-leau-lelectricite-et-lassainissement/,MAD 3.4bn 2025 budget and MAD 8.5bn 2025-2029 plan,1 September 2026
SM-002,SRM Souss-Massa,B,Press/MAP,La Vie Eco via Maghress,2025-02-20,SRM Souss-Massa board reviews launch and strategic plan,https://www.maghress.com/fr/lavieeco/396067,Operational launch and plan governance,1 September 2026
ORI-001,SRM Oriental,B,Business press,Le Desk,2025-12-07,Oriental commissions priority water and sanitation programme study,https://ledesk.ma/enoff/eau-et-assainissement-a-loriental-adi-filiale-de-nareva-retenu-pour-penser-le-programme-prioritaire/,Priority restructuring programme and engineering partner,1 September 2026
ORI-002,SRM Oriental,C,Public-tender mirror,HubForas,2026-02-10,Field recognition and GIS capture for Oriental networks,https://www.hubforas.com/ao/1db466e6-1195-4ac6-aefc-33063926d6c0-reconnaissance-terrain-des-reseaux-restitution-et-saisie-dan,"GIS inventory work across water, sanitation and electricity",1 September 2026
ORI-003,SRM Oriental,C,Public-tender mirror,Commande Public Maroc,2026-08-18,Oujda water network extension and connections,https://cpmaroc.com/appels-offres/109296,Current water distribution works,1 September 2026
ORI-004,SRM Oriental,C,Public-tender mirror,Commande Public Maroc,2026-08-18,Treated wastewater distribution for Oujda green spaces,https://worktree-plan-riposte-concur.cpmaroc-site.pages.dev/appels-offres/109297,Reuse network project,1 September 2026
MS-001,SRM Marrakech-Safi,B,Business press,Le360,2025-04-26,Marrakech-Safi launches two major drinking-water projects,https://fr.le360.ma/economie/eau-potable-la-srm-marrakech-safi-deploie-des-projets-structurants-a-fort-impact-territorial_UZ5NRSMC7JCUHMD6EHP3NNURJY/,MAD 4.7bn Grand Marrakech and rural Safi supply projects,1 September 2026
MS-002,SRM Marrakech-Safi,C,Public-tender mirror,Commande Public Maroc,2026-05-20,Safi sewer rehabilitation by lining,https://cpmaroc.com/appels-offres/12267,Current sanitation rehabilitation,1 September 2026
MS-003,SRM Marrakech-Safi,C,Public-tender mirror,Commande Public Maroc,2026-07-31,Rural Safi drinking-water security studies,https://cpmaroc.com/appels-offres/106833,Current AEP engineering study,1 September 2026
MS-004,SRM Marrakech-Safi,A,Corporate,OCP Group,2025,Treated wastewater from Marrakech supports Benguerir operations,https://www.ocpgroup.ma/en/taxonomy/term/26,Reuse pipeline and cross-operator interface,1 September 2026
RSK-001,SRM Rabat-Sale-Kenitra,A,Official operator,SRM-RSK,2026,SRM-RSK key figures,https://agence.rak.ma/rak/chiffres-cles/,"More than 1.7m customers, 40-year contract, MAD 42.7bn programme and Redal exclusion",1 September 2026
RSK-002,Redal transition,C,Public-tender mirror,Commande Public Maroc,2026-08-07,Redal sanitation works remain procured in 2026,https://cpmaroc.com/appels-offres/107996,Evidence that the delegated perimeter remains operationally relevant,1 September 2026
FM-001,SRM Fes-Meknes,A,Official procurement,SRM-FM,2026-06-10,SRM-FM procurement notices,https://www.radeef.ma/appel-offres/avis,"Pressure reduction, sectorisation, telemanagement, leak detection and sanitation projects",1 September 2026
FM-002,SRM Fes-Meknes,A,Official procurement,SRM-FM,2025,SRM-FM procurement results,https://www.radeef.ma/appel-offres/resultats?y=2025,Award history for water and sanitation works,1 September 2026
FM-003,SRM Fes-Meknes,C,Public-tender mirror,Commande Public Maroc,2026-06-22,Mikkes drinking-water reinforcement,https://cpmaroc.com/appels-offres/2047,Current distribution reinforcement,1 September 2026
TTA-001,SRM Tanger-Tetouan-Al Hoceima,B,Business press,Medias24,2026-08-06,Six northern water-network work lots awarded,https://medias24.com/2026/08/06/eau-potable-dans-le-nord-six-lots-attribues-pour-929-mdh-par-an-1737489/,Annual water-network works of MAD 30.98m to 92.94m,1 September 2026
TTA-002,Amendis transition,A,Delegated operator,Amendis,2026,Amendis current service indicators,https://www.amendis.ma/fr/nos-activites/nos-metiers/distribution-lelectricite,Evidence of continued public operational presence in Tanger and Tetouan,1 September 2026
BMK-001,SRM Beni Mellal-Khenifra,B,Business press,Aujourd'hui le Maroc,2026-08-07,SRM-BK describes regional investment programme,https://aujourdhui.ma/societe/des-services-publics-performants-durables-et-equitables-pour-tous-les-citoyens-de-la-region,"Water, sanitation and electricity investment across five provinces",1 September 2026
BMK-002,SRM Beni Mellal-Khenifra,C,Public-tender mirror,Commande Public Maroc,2026-08-19,Tizi N'Isly wastewater treatment plant,https://cpmaroc.com/appels-offres/109679,Current wastewater treatment investment,1 September 2026
BMK-003,SRM Beni Mellal-Khenifra,C,Public-tender mirror,Commande Public Maroc,2026-08-06,Khouribga sanitation network reinforcement,https://cpmaroc.com/appels-offres/107677,Current sewer network investment,1 September 2026
BMK-004,SRM Beni Mellal-Khenifra,C,Public-tender mirror,Commande Public Maroc,2026-07-24,Water-leak repair in Beni Mellal province,https://cpmaroc.com/appels-offres/105930,Network performance and maintenance demand,1 September 2026
DT-001,SRM Draa-Tafilalet,C,Public-tender mirror,Marche Facile,2026-08-05,Integrated institutional GIS for SRM Drâa-Tafilalet,https://marchefacile.ma/marches/22255-100076742026srmdt-la-mise-en-place-dun-systeme-dinformation-geographique-sig-institutionnel-integre-comprenant-une-plateforme-web-sig-metier-au-profit-de-la-srm-draa-tafilalet,Enterprise GIS and asset-data programme,1 September 2026
DT-002,SRM Draa-Tafilalet,C,Public-tender mirror,Commande Public Maroc,2026-08-14,Ouarzazate sanitation network extension and rehabilitation,https://cpmaroc.com/appels-offres/108957,Current sanitation renewal,1 September 2026
DT-003,SRM Draa-Tafilalet,C,Public-tender mirror,Commande Public Maroc,2026-08-08,Boumalne Dades water-network maintenance and connections,https://cpmaroc.com/appels-offres/108092,Current rural/centre water operations,1 September 2026
GON-001,SRM Guelmim-Oued Noun,B,Business press,Medias24,2026-01-16,Guelmim-Oued Noun approves MAD 3.65bn 2026-2030 plan,https://medias24.com/2026/01/16/365-mmdh-pour-le-programme-dinvestissement-2026-2030-de-la-srm-guelmim-oued-noun-1612566/,"Five-year investment, rural emphasis and governance",1 September 2026
GON-002,SRM Guelmim-Oued Noun,C,Public-tender mirror,Commande Public Maroc,2026-08-06,Tan-Tan industrial wastewater connection works,https://cpmaroc.com/appels-offres/107646,Current sanitation works,1 September 2026
LSH-001,SRM Laayoune-Sakia El Hamra,B,Business press/MAP,Medias24,2025-10-06,Laayoune-Sakia El Hamra SRM operational launch,https://medias24.com/2025/10/06/lancement-officiel-de-la-srm-laayoune-sakia-el-hamra/,"30-year contract, MAD 2.74bn programme, modernisation and digitalisation",1 September 2026
LSH-002,SRM Laayoune-Sakia El Hamra,A,Official operator,ONEE,2026,ONEE current regional water-project register,https://www.onep.org.ma/communique-presse.htm,Upstream production and supply projects affecting regional interfaces,1 September 2026
DO-001,SRM Dakhla-Oued Ed-Dahab,B,Business press/MAP,Medias24,2025-09-25,Dakhla SRM launch and investment programme,https://medias24.com/2025/09/25/la-srm-dakhla-oued-eddahab-entamera-ses-activites-le-6-octobre-prochain/,"30-year contract, MAD 1.82bn programme and launch date",1 September 2026
DO-002,SRM Dakhla-Oued Ed-Dahab,C,Public-tender mirror,HubForas,2026-03-14,Dakhla water and sanitation renewal programme,https://www.hubforas.com/ao/3ce7f689-8c69-4f4a-84e1-619ff2a87922-travaux-de-renouvellement-de-mise-a-niveau-et-de-renforcemen,MAD 164.7m renewal in Essalam and Wahda,1 September 2026
DO-003,SRM Dakhla-Oued Ed-Dahab,C,Public-tender mirror,Marche Facile,2026-08-17,Operation of modular demineralisation/desalination stations and boreholes,https://marchefacile.ma/marches/25505-602026eexpsrmdo-gestion-et-exploitation-des-stations-monoblocs-de-demineralisation-dessalement-et-des-forages-lies-au-niveau-de-la-region-dakhla-oued-eddahab,Current non-conventional water operations,1 September 2026
OCP-001,OCP Green Water,A,Corporate,OCP Group,2025-04-19,OCP Green Water secures MAD 6bn financing,https://www.ocpgroup.ma/en/press-release/ocp-green-water-secures-mad-6-billion-usd-620-million-financing-assistance-cdg-group,"Ownership, financing and 2030 desalination objective",1 September 2026
OCP-002,OCP Green Water,A,Corporate,OCP Group,2025,Jorf Lasfar-Khouribga pipeline and Marrakech treated-water transfer,https://www.ocpgroup.ma/en/taxonomy/term/26,"J2K pipeline, community supply and wastewater reuse",1 September 2026
OCP-003,OCP Green Water,A,Corporate/DFI,OCP Group and IFC,2023,IFC and OCP launch water-shortage project,https://www.ocpgroup.ma/en/press-release/ifc-and-ocp-group-launch-project-address-water-shortage-morocco-and-food-insecurity,"USD 611m investment, desalination and treated-wastewater targets",1 September 2026
OCP-004,OCP Green Water,A,Corporate,OCP Group,2026,OCP water programme and EBRD-financed desalination facilities,https://www.ocpgroup.ma/en/our-esg-journey/environment,Jorf Lasfar and Safi facilities and water programme,1 September 2026
TRN-001,Legacy operators,A,Corporate,Veolia,2024-07-05,Veolia agreement to sell Lydec stake to SRM Casablanca-Settat,https://www.veolia.com/en/our-media/press-releases/morocco-veolia-has-signed-agreement-sale-its-entire-stake-lydec-srm-casablanca-settat,Lydec transition,1 September 2026
TRN-002,Legacy operators,A,Official operator,SRM-CS,2024,SRM-CS predecessor consolidation,https://srm.radeec.ma/,Lydec and regional predecessors consolidated,1 September 2026
TRN-003,Legacy operators,A,Official operator,SRM-RSK,2026,SRM-RSK current perimeter explicitly excludes Redal,https://agence.rak.ma/rak/chiffres-cles/,Redal boundary,1 September 2026
