account,person_or_entity,public_role,event_or_activity,date,location,participation_evidence,commercial_relevance,source_url,evidence_class
OCP Group,Majda Moumni,CEO OCP Solutions,MoroccoAI Annual Conference,2024-12-05,Virtual,"Named keynote speaker on AI transforming industries","Digital-transformation ecosystem route",https://www.linkedin.com/posts/ocp-solutions_ai-ocps-solutions-activity-7269304342376022017-oKs_,named_person
OCP Group,Majda Moumni,CEO OCP Solutions,Morocco AI Forum,2025,Morocco,"Named panelist: AI for Innovation and Industry Transformation","Repeat public industry-transformation engagement",https://www.linkedin.com/posts/ocp-solutions_moroccoai-aiforum2025-ocpsolutions-activity-7391770938821726208-H_qk,named_person
OCP Group,Imad Boumhi,Chief Digital and AI Officer,UM6P Science Week,2025,Benguerir,"Participant thanked for talks and insights","Presence in UM6P innovation ecosystem; talk topic not independently captured",https://www.linkedin.com/posts/serendalkiran_it-was-an-honour-to-join-the-annual-flagship-activity-7303537799205453825-P9ov,named_person_secondary
OCP Group,OCP Maintenance Solutions,Industrial assessment company,INCIT strategic cooperation,2026-01-30,Morocco,"Named signatory organization","Direct assessment-workflow and assessor-capability route",https://incit.org/newsroom/incit-and-ocp-maintenance-solutions-establish-strategic-cooperation-to-advance-industrial-transformation-in-morocco/,organization
Renault Group Morocco,Nadia Tazi,Regional IS/IT Director,Global Industry 4.0 Conference,2019-11-13,Casablanca,"Named speaker sharing Renault factory transformation experience","Industrial-digital thought-leadership route",https://fr.linkedin.com/posts/renaultgroup_industrie4-transformationdigitale-activity-6601053058153619456-vnSA,named_person
Renault Group Morocco,Nadia Tazi,Regional IS/IT Director,CIOmove@Morocco,2026,Tangier,"Named plant-visit guide for digital-twin and metaverse use cases","High-relevance peer event; not testing authorization",https://www.ciomove.com/news/topics-theses/the-it-evolution-in-renaults-tangier-plant-a-grounded-approach/,named_person
Stellantis Kenitra,Mounir Kharbouche,VP General Manager Kénitra,Automotive Competitiveness Show,2026,Morocco,"Personal post states participation and supplier/investor engagement","Direct automotive-supplier ecosystem route",https://www.linkedin.com/posts/mounir-kharbouche-66255a113_stellantis-kenitra-automotive-activity-7480190205069623296-9c3n,named_person
Stellantis Kenitra,Mounir Kharbouche,VP General Manager Kénitra,Stellantis Production Way Day,2025,Kénitra,"Personal post reports 100+ colleagues and 54 improvement sheets","Existing continuous-improvement mechanism for a measured pilot",https://www.linkedin.com/posts/mounir-kharbouche-66255a113_stellantis-kenitra-spwday-activity-7307325503965724672-heXM,named_person
Stellantis Kenitra,Mounir Kharbouche,VP General Manager Kénitra,Smart Car platform production launch,2026,Kénitra,"Personal post states attendance at official launch","Executive ownership of new-line ramp narrative",https://www.linkedin.com/posts/mounir-kharbouche-66255a113_fiatfastback-fiatgrizzly-stellantis-activity-7488178372452417536-SnXr,named_person
Tanger Med,Mehdi Tazi Riffi,CEO Tanger Med Group,TOC Africa,2025-09-17,Tangier,"Named opening-session participant","Senior port/logistics convening route",https://www.tangermed.ma/en/organization-of-the-2nd-edition-of-toc-africa-in-partnership-with-tanger-med/,named_person
Tanger Med,Idriss Aarabi,Managing Director TMPA,TOC Africa,2025-09-17,Tangier,"Named supply-chain session participant","Named port-authority operating stakeholder",https://www.tangermed.ma/en/organization-of-the-2nd-edition-of-toc-africa-in-partnership-with-tanger-med/,named_person
Tanger Med,Taoufik Chahir,Director Container Business Unit Marsa Maroc,TOC Africa Tech TOC panel,2025-09-17,Tangier,"Named panel participant on terminal efficiency","Terminal-operator route; separate from TMPA authorization",https://www.tangermed.ma/en/organization-of-the-2nd-edition-of-toc-africa-in-partnership-with-tanger-med/,named_person
Tanger Med,Chawki Benouarrek,Chief Digital Officer,TOC Africa digital-port panel,2023,Tangier,"Named panelist by IAPH","Direct port-digitalization participation",https://www.iaphworldports.org/news/iaphnews/16622/,named_person
