account,research_priority,stage,evidence_state,opportunity_hypothesis,customer_problem_confirmed,champion,economic_buyer,technical_evaluator,procurement_route,public_trigger,source_ids,last_customer_interaction,estimated_value,probability,primary_unknown,disposition
SRM Fès–Meknès,A,Research,Public sources only,Bounded telemanagement acceptance evidence,No,unknown,unknown,unknown,unknown,"Official 2026 notices for Taza telemanagement equipment and central-system upgrade",FM-001;FM-002,none recorded,,,Award status; operational problem; decision route,Research — not advanced
SRM de l’Oriental,A,Research,Secondary public leads only,Field-to-record reconciliation,No,unknown,unknown,unknown,unknown,"Public procurement mirrors report field-recognition and GIS-capture work; official notice requires verification",ORI-001;ORI-002;ORI-003;ORI-004,none recorded,,,Primary-source status; data owner; customer demand,Research — not advanced
OCP Green Water,A,Research,Public sources only,Safi–Gantour commissioning evidence,No,unknown,unknown,unknown,unknown,Official OCP page identifies a 2026 Safi–Gantour commissioning milestone,OCP-002;OCP-004,none recorded,,,Commissioning gate; handover problem; decision route,Research — not advanced
ONEE — Water Branch,B,Research,Public sources only,Project acceptance evidence baseline,No,unknown,unknown,unknown,unknown,"Treatment, pumping and telemanagement programmes",ONEE-001;ONEE-002;ONEE-003,none recorded,,,Specific site; milestone; organizational route,Research — not advanced
SRM Casablanca–Settat,B,Research,Public sources only,Predecessor-to-SRM inventory reconciliation,No,unknown,unknown,unknown,unknown,Operator consolidation and public modernization programme,CS-001;CS-002;CS-003,none recorded,,,Specific transition event; record owner; demand,Research — not advanced
SRM Souss–Massa,C,Research,Public sources only,Water-project handover baseline,No,unknown,unknown,unknown,unknown,Regional water and sanitation investment programme,SM-001;SM-002,none recorded,,,Specific project; timing; relevant function,Research — not advanced
SRM Marrakech–Safi,B,Research,Public sources only,Hydraulic or reuse-interface evidence baseline,No,unknown,unknown,unknown,unknown,"Water-security, sanitation and reuse activity",MS-001;MS-002;MS-003;MS-004,none recorded,,,Exact operator boundary; project; demand,Research — not advanced
SRM Rabat–Salé–Kénitra,C,Research,Public sources only,Bounded network-project baseline,No,unknown,unknown,unknown,unknown,Regional programme with a documented delegated-perimeter boundary,RSK-001;RSK-002,none recorded,,,Exact operator; commune; current decision,Research — not advanced
SRM Tanger–Tétouan–Al Hoceïma,C,Research,Public sources only,Works-package handover evidence,No,unknown,unknown,unknown,unknown,Regional works and continuing delegated-operator context,TTA-001;TTA-002,none recorded,,,Current operator; asset boundary; customer problem,Research — not advanced
SRM Béni Mellal–Khénifra,C,Research,Public sources only,Treatment or renewal-lot baseline,No,unknown,unknown,unknown,unknown,"Treatment, sanitation and network-maintenance activity",BMK-001;BMK-002;BMK-003;BMK-004,none recorded,,,Current milestone; evidence source; relevant function,Research — not advanced
SRM Drâa–Tafilalet,C,Research,Secondary public leads only,GIS migration or pumping-maintenance evidence,No,unknown,unknown,unknown,unknown,"GIS, renewal and maintenance procurement signals",DT-001;DT-002;DT-003,none recorded,,,Official current status; decision owner; demand,Research — not advanced
SRM Guelmim–Oued Noun,C,Research,Public sources only,Rural or pumping-project handover baseline,No,unknown,unknown,unknown,unknown,Regional investment and sanitation activity,GON-001;GON-002,none recorded,,,Specific centre; project; responsible function,Research — not advanced
SRM Laâyoune–Sakia El Hamra,C,Research,Public sources only,New-operator project baseline,No,unknown,unknown,unknown,unknown,Operator launch and public modernization programme,LSH-001;LSH-002,none recorded,,,Current project; ownership; operational problem,Research — not advanced
SRM Dakhla–Oued Ed-Dahab,C,Research,Secondary public leads only,Treatment-station or renewal-lot baseline,No,unknown,unknown,unknown,unknown,Treatment and non-conventional-water procurement signals,DO-001;DO-002;DO-003,none recorded,,,Official status; specific site; relevant function,Research — not advanced
