account,date,public_signal,source_id,status,allowed_use
ONEE Water Branch,2026,Official water-project and financing register,ONEE-001,A,Request role-based redirection and confirm current project owner
SRM Casablanca-Settat,2024-10-01,Operational launch and predecessor consolidation,CS-001,A,Confirm successor and predecessor evidence owners
SRM Souss-Massa,2025-02-21,Board-approved annual and five-year investment plans,SM-001,B,Anchor an account discussion in a specific programme
SRM Oriental,2025-12-07,Priority water and sanitation programme study,ORI-001,B,Identify programme and GIS owners
SRM Marrakech-Safi,2025-04-26,Major drinking-water projects announced,MS-001,B,Identify one project-acceptance owner
SRM Rabat-Sale-Kenitra,2026,Official figures and Redal exclusion,RSK-001,A,Resolve operator boundary before outreach
SRM Fes-Meknes,2026-06-10,Official telemanagement and network-performance procurement,FM-001,A,Request the owner of one exact project
SRM Tanger-Tetouan-Al Hoceima,2026-08-06,Six water-network work lots reported awarded,TTA-001,B,Confirm current operator and lot owner
SRM Beni Mellal-Khenifra,2026-08-07,Regional investment programme interview,BMK-001,B,Request provincial/project redirection
SRM Draa-Tafilalet,2026-08-05,Institutional GIS procurement,DT-001,C,Verify official notice and identify GIS programme owner
SRM Guelmim-Oued Noun,2026-01-16,Five-year programme with rural emphasis,GON-001,B,Identify rural or sanitation project owner
SRM Laayoune-Sakia El Hamra,2025-10-06,Operational launch and digitalisation programme,LSH-001,B,Identify current project and data-governance owner
SRM Dakhla-Oued Ed-Dahab,2025-09-25,Operational launch and investment programme,DO-001,B,Identify treatment or renewal-project owner
OCP Green Water,2025-04-19,MAD 6bn financing announcement,OCP-001,A,Request project/EPC/operations redirection; not evidence of Atlas budget
