account,priority,public_route,roles_to_identify,source_ids,allowed_use
ONEE — Water Branch,1,Official project procurement training or approved-integrator route,"Water production/operations; automation/instrumentation/telemanagement; SCADA engineering/training; maintenance/asset management; cybersecurity/IS; project acceptance",ONEE-001;ONEE-002;ONEE-003,Request role-based redirection; recheck current ownership
SRM Casablanca–Settat,1,Official SRM provincial direction or named project,"Regional/provincial water operations; hydraulic projects; sanitation; asset management/GIS; IS/cybersecurity; procurement/integrator management",CS-001;CS-002;CS-003,Anchor outreach in one project and confirm predecessor records
SRM Souss–Massa,1,Regional or provincial water/sanitation programme,"Water and sanitation directorates; project acceptance; network performance; GIS/asset management; IS/OT security",SM-001;SM-002,Use investment programme only for context
SRM de l’Oriental,1,GIS or priority water/sanitation programme,"GIS/asset data; investment/planning; water operations; sanitation/reuse; provincial operations; project acceptance; IS/cybersecurity",ORI-001;ORI-002;ORI-003;ORI-004,Request one GIS-recognition or reuse-project owner
SRM Marrakech–Safi,1,Named water sanitation or reuse programme,"Water investment/operations; provincial direction; sanitation/reuse; project acceptance; GIS; OT/SCADA/IS; OCP interface",MS-001;MS-002;MS-003;MS-004,Confirm ownership on both sides of reuse interface
SRM Rabat–Salé–Kénitra,2,Exact commune and operator route,"SRM water operations; Redal technical owner where applicable; GIS; sanitation; project acceptance; IS/cybersecurity; regional authority",RSK-001;RSK-002,Resolve delegated perimeter before outreach
SRM Fès–Meknès,1,Official procurement or project owner,"Provincial water operations; telemanagement/automation; network performance; GIS; project acceptance; maintenance; IS/cybersecurity",FM-001;FM-002;FM-003,Reference one official tender or awarded project
SRM Tanger–Tétouan–Al Hoceïma,2,Exact facility and current operator,"SRM provincial operations; Amendis technical owner where applicable; project acceptance; network performance; sanitation; GIS; IS/cybersecurity",TTA-001;TTA-002,Confirm transition status and current authorization authority
SRM Béni Mellal–Khénifra,2,Treatment or network-performance project,"Water operations; wastewater treatment; leak management; project acceptance; GIS; maintenance; IS/cybersecurity",BMK-001;BMK-002;BMK-003;BMK-004,Use one province and one project
SRM Drâa–Tafilalet,2,GIS programme or provincial project,"GIS programme owner; water/sanitation operations; provincial directorate; maintenance/project teams; data governance/IS; automation where present",DT-001;DT-002;DT-003,Position as field evidence alongside GIS
SRM Guelmim–Oued Noun,2,Rural service or Tan-Tan sanitation programme,"Regional/provincial operations; rural service; project acceptance; GIS; IS; industrial-customer interface",GON-001;GON-002,Plan offline custody and logistics
SRM Laâyoune–Sakia El Hamra,2,Project/digitalisation owner and ONEE interface,"Water operations; project acceptance; GIS; digital transformation/IS; automation/telemanagement; sanitation; ONEE interface",LSH-001;LSH-002,Confirm legal and data-handling approvals
SRM Dakhla–Oued Ed-Dahab,2,Treatment station or renewal project,"Production/distribution interface; treatment operations; renewal project; sanitation; GIS; maintenance contractor; IS/cybersecurity",DO-001;DO-002;DO-003,Confirm owner of every modular plant and borehole
OCP Green Water,1,Project owner plus approved EPC/integrator,"Operations; project engineering; EPC/integrator; industrial cybersecurity/digital; maintenance/reliability; process quality; community-supply interface",OCP-001;OCP-002;OCP-003;OCP-004,Start with FAT/SAT lab skid or commissioning package
