account,primary_public_signal,operational_theme,entry_hypothesis,source_ids,not_proven
ONEE Water Branch,"Treatment, pumping, conveyance and desalination projects",National production and telemanagement,One project-acceptance evidence baseline,ONEE-001;ONEE-002;ONEE-003,"Installed vendor, protocol, vulnerability, budget or permission"
SRM Casablanca-Settat,"Predecessor consolidation; reservoir, pumping and sectorisation programme",Transition and network renewal,One predecessor-to-SRM inventory reconciliation,CS-001;CS-002;CS-003,"Current technical truth of legacy records"
SRM Souss-Massa,MAD 8.5bn five-year programme,Water security and sanitation,One project handover around pumping storage transfer or treatment,SM-001;SM-002,"Ownership of upstream production assets"
SRM Oriental,"GIS field recognition, network works and wastewater reuse",GIS and reuse,One GIS-recognition lot with reviewed evidence delta,ORI-001;ORI-002;ORI-003;ORI-004,"GIS implementation status or OT technology"
SRM Marrakech-Safi,"Major drinking-water projects, sanitation renewal and OCP reuse interface",Water security and cross-operator reuse,One project or reuse-interface acceptance package,MS-001;MS-002;MS-003;MS-004,"Shared network authority between SRM and OCP"
SRM Rabat-Sale-Kenitra,"Large investment programme with Redal exclusion",Operator-boundary management,One project after commune and operator confirmation,RSK-001;RSK-002,"End of Redal contract or one regional authority"
SRM Fes-Meknes,"Telemanagement, pressure reduction, sectorisation and leak-detection procurement",Telemanagement and network performance,One telemanagement or sectorisation acceptance package,FM-001;FM-002;FM-003,"Installed product until award and field evidence"
SRM Tanger-Tetouan-Al Hoceima,"Awarded water-network lots and current Amendis presence",Renewal and transition,One work lot with confirmed current operator,TTA-001;TTA-002,"Amendis exit or full SRM operational control"
SRM Beni Mellal-Khenifra,"Treatment, sanitation and leak-repair projects",Treatment and network performance,One treatment commissioning or district baseline,BMK-001;BMK-002;BMK-003;BMK-004,"Industrial relationship based only on geography"
SRM Draa-Tafilalet,"Institutional GIS and sanitation/water renewal",Asset-data modernisation,One field-evidence package for GIS migration,DT-001;DT-002;DT-003,"Current GIS vendor or implementation state"
SRM Guelmim-Oued Noun,"MAD 3.65bn plan, rural emphasis and Tan-Tan sanitation",Rural/offline operations,One rural centre or industrial-interface handover,GON-001;GON-002,"Technology budget from rural allocation"
SRM Laayoune-Sakia El Hamra,"New operator, modernisation and digitalisation",Greenfield governance and producer interface,One supply pumping storage or sanitation project,LSH-001;LSH-002,"Specific OT technology or exact asset owner"
SRM Dakhla-Oued Ed-Dahab,"Renewal programme and modular treatment operations",Non-conventional water and rapid renewal,One modular station or renewal-lot baseline,DO-001;DO-002;DO-003,"Ownership of every desalination or irrigation asset"
OCP Green Water,"Desalination, treated wastewater, pipelines and major financing",Industrial water production and transfer,One treatment skid pumping node or commissioning package,OCP-001;OCP-002;OCP-003;OCP-004,"Group-wide budget, system architecture or access authority"
