account,document,priority,status,geography,water_scope,commercial_motion,source_ids,research_baseline
ONEE — Water Branch,ONEE.md,1 — national anchor,"National public water producer, planner and major sanitation actor",National,"Drinking-water planning, production, treatment, conveyance, quality control, rural supply and sanitation projects",direct strategic account,ONEE-001;ONEE-002;ONEE-003,1 September 2026
SRM Casablanca–Settat,SRM-CASABLANCA-SETTAT.md,1 — largest regional distribution account,Public regional multiservice company; operational since 1 October 2024,Casablanca–Settat region,"Drinking-water distribution, liquid sanitation, electricity distribution and public-lighting responsibilities inherited from multiple operators",direct strategic account,CS-001;CS-002;CS-003,1 September 2026
SRM Souss–Massa,SRM-SOUSS-MASSA.md,1 — high-investment regional account,Public regional multiservice company; launched in October 2024,Souss–Massa region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct strategic account,SM-001;SM-002,1 September 2026
SRM de l’Oriental,SRM-ORIENTAL.md,1 — active GIS and reuse programme,Public regional multiservice company based in Oujda,Oriental region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct strategic account,ORI-001;ORI-002;ORI-003;ORI-004,1 September 2026
SRM Marrakech–Safi,SRM-MARRAKECH-SAFI.md,1 — major water-security and reuse account,Public regional multiservice company,Marrakech–Safi region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct strategic account,MS-001;MS-002;MS-003;MS-004,1 September 2026
SRM Rabat–Salé–Kénitra,SRM-RABAT-SALE-KENITRA.md,2 — large account with an unresolved delegated perimeter,Public regional multiservice company operating across the region except the Redal delegated perimeter,Rabat–Salé–Kénitra region,"Drinking-water distribution, liquid sanitation and electricity outside the current Redal contract area",direct regional account,RSK-001;RSK-002,1 September 2026
SRM Fès–Meknès,SRM-FES-MEKNES.md,1 — strongest public procurement fit,Public regional multiservice company,Fès–Meknès region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct strategic account,FM-001;FM-002;FM-003,1 September 2026
SRM Tanger–Tétouan–Al Hoceïma,SRM-TANGER-TETOUAN-AL-HOCEIMA.md,2 — high network spend with transition complexity,Public regional multiservice company; regionalisation intersects with the Amendis delegated estate,Tanger–Tétouan–Al Hoceïma region,"Regional drinking-water distribution, liquid sanitation and electricity, subject to confirmed transition boundaries",direct regional account,TTA-001;TTA-002,1 September 2026
SRM Béni Mellal–Khénifra,SRM-BENI-MELLAL-KHENIFRA.md,2 — expanding treatment and network programme,Public regional multiservice company,Béni Mellal–Khénifra region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct regional account,BMK-001;BMK-002;BMK-003;BMK-004,1 September 2026
SRM Drâa–Tafilalet,SRM-DRAA-TAFILALET.md,2 — asset-data modernisation account,Public regional multiservice company,Drâa–Tafilalet region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct regional account,DT-001;DT-002;DT-003,1 September 2026
SRM Guelmim–Oued Noun,SRM-GUELMIM-OUED-NOUN.md,2 — new regional operator with rural emphasis,Public regional multiservice company; operational since October 2025,Guelmim–Oued Noun region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct regional account,GON-001;GON-002,1 September 2026
SRM Laâyoune–Sakia El Hamra,SRM-LAAYOUNE-SAKIA-EL-HAMRA.md,2 — newly launched modernisation programme,Public regional multiservice company; operational since 6 October 2025,Laâyoune–Sakia El Hamra region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct regional account,LSH-001;LSH-002,1 September 2026
SRM Dakhla–Oued Ed-Dahab,SRM-DAKHLA-OUED-ED-DAHAB.md,2 — concentrated renewal and non-conventional-water account,Public regional multiservice company; operational since 6 October 2025,Dakhla–Oued Ed-Dahab region,"Regional drinking-water distribution, liquid sanitation and electricity services",direct regional account,DO-001;DO-002;DO-003,1 September 2026
OCP Green Water,OCP-GREEN-WATER.md,1 — strategic industrial water operator,Wholly owned OCP Group subsidiary for non-conventional water,"Jorf Lasfar, Safi, Khouribga, Benguerir/Gantour and associated supply corridors","Development, production and commercialisation of desalinated and treated wastewater for OCP operations and nearby communities",direct strategic account,OCP-001;OCP-002;OCP-003;OCP-004,1 September 2026
